,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
288,Teguise,20,ES,1561272123,83,29.06,-13.56,69.8,5.82
289,Astoria,90,US,1561272124,93,46.19,-123.83,57.99,14.99
290,Port Elizabeth,1,US,1561272125,63,39.31,-74.98,68.0,4.7
291,Saint-Pierre,0,FR,1561272126,82,48.95,4.24,68.0,6.93
292,Kirovskiy,14,RU,1561272127,79,45.09,133.51,71.87,4.61
293,Pavlodar,75,KZ,1561272128,87,52.28,76.96,51.8,22.37
294,Makakilo City,75,US,1561272129,83,21.35,-158.09,82.4,3.36
295,Wanaka,0,NZ,1561272130,72,-44.7,169.14,30.11,2.95
296,Pangkalanbuun,53,ID,1561272130,49,-2.68,111.62,90.77,4.5
297,Gamba,44,CN,1561272132,33,28.28,88.52,55.49,8.16
298,Owando,40,CG,1561272133,83,-0.49,15.91,73.85,4.97
299,Hambantota,20,LK,1561272134,59,6.12,81.12,93.2,17.22
300,Beidao,92,CN,1561272134,61,34.57,105.89,70.97,14.65
301,Kerman,40,IR,1561272135,5,30.29,57.06,93.2,4.7
302,Yichun,100,CN,1561272136,89,27.8,114.38,71.51,2.19
303,At-Bashi,99,KG,1561272137,92,41.17,75.81,52.0,6.8
304,Salmo,99,CA,1561272139,93,49.19,-117.28,57.99,1.01
305,Reo,71,BF,1561272139,71,12.32,-2.47,77.45,8.5
306,Dymer,45,UA,1561272140,88,50.78,30.31,78.01,17.9
307,Kuytun,57,RU,1561272141,52,54.34,101.51,76.01,5.5
308,Sisimiut,82,GL,1561272142,95,66.94,-53.67,37.13,3.13
309,Lixourion,0,GR,1561272143,78,38.2,20.43,80.6,3.06
310,Luba,87,PH,1561272144,69,17.32,120.7,88.43,10.47
311,Johnstown,1,US,1561272145,93,40.33,-78.92,57.99,2.42
312,Anshan,0,CN,1561272147,27,41.11,122.99,88.79,7.31
313,Cunha,2,BR,1561272147,92,-23.08,-44.96,53.33,1.77
314,Khonsa,34,IN,1561272148,77,26.99,95.51,82.13,3.67
315,Businga,69,CD,1561272149,95,3.34,20.89,72.77,1.16
316,Khani,40,GE,1561272150,83,41.96,42.96,78.8,2.24
